Category,ServiceName,Duration,Price_EUR,Active
Leikkaukset,Kampaamoleikkaus lyhyet,00:40:00,45,True
Leikkaukset,Kampaamoleikkaus puolipitkät,01:00:00,50,True
Leikkaukset,Kampaamoleikkaus pitkät,01:00:00,65,True
Leikkaukset,Kampaamoleikkaus extrapitkät,01:20:00,78,True
Leikkaukset,Mallinmuutosleikkaus lyhyet,00:40:00,50,True
Leikkaukset,Mallinmuutosleikkaus puolipitkät,00:50:00,60,True
Leikkaukset,Mallinmuutosleikkaus pitkät,01:00:00,70,True
Leikkaukset,Mallinmuutosleikkaus extrapitkät,01:00:00,80,True
Leikkaukset,Otsatukan leikkaus,00:20:00,10,True
Leikkaukset,Kihara- ja afrohiusten leikkaus lyhyet,00:30:00,50,True
Leikkaukset,Kihara- ja afrohiusten leikkaus puolipitkät,01:00:00,60,True
Leikkaukset,Kihara- ja afrohiusten leikkaus pitkät,00:40:00,70,True
Leikkaukset,Kihara- ja afrohiusten leikkaus extrapitkät,01:00:00,80,True
Leikkaukset,Hiusten tasaus,00:30:00,30,True
Leikkaukset,Koneajo,00:15:00,20,True
Leikkaukset,Parturileikkaus,00:30:00,25,True
Monivärit/raidat,Moniväri ja leikkaus (lyhyet),02:00:00,115,True
Monivärit/raidat,Moniväri ja leikkaus (keskipitkät),02:15:00,129,True
Monivärit/raidat,Moniväri ja leikkaus (pitkät),02:30:00,149,True
Monivärit/raidat,Moniväri ja leikkaus (extrapitkät),02:45:00,168,True
Monivärit/raidat,Raidat ja leikkaus (lyhyet),02:00:00,115,True
Monivärit/raidat,Raidat ja leikkaus (keskipitkät),02:15:00,138,True
Monivärit/raidat,Raidat ja leikkaus (pitkät),02:30:00,153,True
Monivärit/raidat,Raidat ja leikkaus (extrapitkät),02:45:00,172,True
Monivärit/raidat,Moniväri (lyhyet),01:30:00,98,True
Monivärit/raidat,Moniväri (keskipitkät),01:45:00,100,True
Monivärit/raidat,Moniväri (pitkät),02:00:00,105,True
Monivärit/raidat,Moniväri (extrapitkät),02:15:00,110,True
Monivärit/raidat,Raidat (lyhyet),01:30:00,95,True
Monivärit/raidat,Raidat (keskipitkät),01:45:00,119,True
Monivärit/raidat,Raidat (pitkät),02:00:00,129,True
Monivärit/raidat,Raidat (extrapitkät),02:15:00,151,True
Monivärit/raidat,Balayage ja leikkaus lyhyet hiukset,01:00:00,160,True
Monivärit/raidat,Balayage ja leikkaus keskipitkät hiukset,01:20:00,180,True
Monivärit/raidat,Balayage ja leikkaus extra pitkät hiukset,01:30:00,250,True
Kampaukset ja meikit,Pikakampaus,00:30:00,35,True
Kampaukset ja meikit,Juhlakampaus,01:00:00,70,True
Kampaukset ja meikit,Päivämeikki,00:45:00,30,True
Kampaukset ja meikit,Juhlameikki,01:00:00,75,True
Kampaukset ja meikit,Hiustenpesu ja föönaus (lyhyet hiukset),00:40:00,40,True
